Body,Network,Series,Batch,Geometric Mean
3-CoupledPendulum,CHNN,avg_rel_err_pert,0,0.0001255543183059591
3-CoupledPendulum,CHNN,avg_rel_err_pert,1,0.00017381324507900165
3-CoupledPendulum,CHNN,avg_rel_err_pert,2,4.33404306608003e-05
3-CoupledPendulum,CHNN,avg_rel_err_pert,3,0.00014598753032332053
3-CoupledPendulum,CHNN,avg_rel_err_pert,4,6.614905238208979e-05
3-CoupledPendulum,CHNN,avg_rel_err_pert,5,7.040683649300036e-05
3-CoupledPendulum,CHNN,avg_rel_err_pert,6,8.940605874953465e-05
3-CoupledPendulum,CHNN,avg_rel_err_pert,7,0.00010510484418236685
3-CoupledPendulum,CHNN,avg_rel_err_pert,8,0.00012832633682384998
3-CoupledPendulum,CHNN,avg_rel_err_pert,9,0.00013457488714238772
3-CoupledPendulum,CHNN,avg_rel_err_pert,10,5.879530098539182e-05
3-CoupledPendulum,CHNN,avg_rel_err_pert,11,0.00011857375722447898
3-CoupledPendulum,CHNN,avg_rel_err_pert,12,0.00013409165859365785
3-CoupledPendulum,CHNN,avg_rel_err_pert,13,0.00012575226782018476
3-CoupledPendulum,CHNN,avg_rel_err_pert,14,0.00019559777230662506
3-CoupledPendulum,CHNN,avg_rel_err_pert,15,6.787666286722854e-05
3-CoupledPendulum,CHNN,avg_rel_err_pert,16,0.0001390494673475625
3-CoupledPendulum,CHNN,avg_rel_err_pert,17,0.00011123898118636917
3-CoupledPendulum,CHNN,avg_rel_err_pert,18,0.00012834611408575633
3-CoupledPendulum,CHNN,avg_rel_err_pert,19,0.00011011882385556828
3-CoupledPendulum,CHNN,avg_rel_err_pert,20,0.00017738872045117566
3-CoupledPendulum,CHNN,avg_rel_err_pert,21,0.00013577909314147873
3-CoupledPendulum,CHNN,avg_rel_err_pert,22,0.00014559067210714115
3-CoupledPendulum,CHNN,avg_rel_err_pert,23,0.00016133954240561742
3-CoupledPendulum,CHNN,avg_rel_err_pert,24,0.00010361160368630644
3-CoupledPendulum,CHNN,avg_rel_err_pert,25,0.00019226989861160606
3-CoupledPendulum,CHNN,avg_rel_err_pert,26,0.00013322908109114745
3-CoupledPendulum,CHNN,avg_rel_err_pert,27,7.347719244581165e-05
3-CoupledPendulum,CHNN,avg_rel_err_pert,28,0.00016863949938742401
3-CoupledPendulum,CHNN,avg_rel_err_pert,29,0.0008884938234077143
3-CoupledPendulum,CHNN,avg_rel_err_pert,30,0.0001471328227318565
3-CoupledPendulum,CHNN,avg_rel_err_pert,31,0.000140478086955144
3-CoupledPendulum,CHNN,avg_rel_err_pert,32,0.00016295210458695667
3-CoupledPendulum,CHNN,avg_rel_err_pert,33,0.0001078271215545296
3-CoupledPendulum,CHNN,avg_rel_err_pert,34,0.00015153958476983324
3-CoupledPendulum,CHNN,avg_rel_err_pert,35,0.00017808400253768812
3-CoupledPendulum,CHNN,avg_rel_err_pert,36,8.38227900481292e-05
3-CoupledPendulum,CHNN,avg_rel_err_pert,37,0.00012948818525803486
3-CoupledPendulum,CHNN,avg_rel_err_pert,38,0.00014692417664152952
3-CoupledPendulum,CHNN,avg_rel_err_pert,39,7.372083421995336e-05
3-CoupledPendulum,CHNN,avg_rel_err_pert,40,8.219866842664926e-05
3-CoupledPendulum,CHNN,avg_rel_err_pert,41,0.0008925167338193007
3-CoupledPendulum,CHNN,avg_rel_err_pert,42,0.00011060946005429888
3-CoupledPendulum,CHNN,avg_rel_err_pert,43,0.00035805033986361826
3-CoupledPendulum,CHNN,avg_rel_err_pert,44,8.988922157176673e-05
3-CoupledPendulum,CHNN,avg_rel_err_pert,45,0.00017161245832822568
3-CoupledPendulum,CHNN,avg_rel_err_pert,46,8.710304870224182e-05
3-CoupledPendulum,CHNN,avg_rel_err_pert,47,6.940281338670526e-05
3-CoupledPendulum,CHNN,avg_rel_err_pert,48,0.00012227574846287488
3-CoupledPendulum,CHNN,avg_rel_err_pert,49,0.00011866094908619415
3-CoupledPendulum,CHNN,avg_rel_err_pert,50,0.00012253751584852466
3-CoupledPendulum,CHNN,avg_rel_err_pert,51,0.00010908435132394016
3-CoupledPendulum,CHNN,avg_rel_err_pert,52,0.00013174625038212275
3-CoupledPendulum,CHNN,avg_rel_err_pert,53,0.00015453839276303007
3-CoupledPendulum,CHNN,avg_rel_err_pert,54,0.0002595823300775078
3-CoupledPendulum,CHNN,avg_rel_err_pert,55,0.00018573222299041517
3-CoupledPendulum,CHNN,avg_rel_err_pert,56,0.0001539052274297417
3-CoupledPendulum,CHNN,avg_rel_err_pert,57,0.0001495705571939284
3-CoupledPendulum,CHNN,avg_rel_err_pert,58,0.00013585341498745243
3-CoupledPendulum,CHNN,avg_rel_err_pert,59,9.119149946391801e-05
3-CoupledPendulum,CHNN,avg_rel_err_pert,60,8.639510701778414e-05
3-CoupledPendulum,CHNN,avg_rel_err_pert,61,0.0002726331920519461
3-CoupledPendulum,CHNN,avg_rel_err_pert,62,6.806881072594227e-05
3-CoupledPendulum,CHNN,avg_rel_err_pert,63,0.00010119689598240501
3-CoupledPendulum,CHNN,avg_rel_err_pert,64,6.754772699855196e-05
3-CoupledPendulum,CHNN,avg_rel_err_pert,65,0.00014699380485030264
3-CoupledPendulum,CHNN,avg_rel_err_pert,66,9.759059755770258e-05
3-CoupledPendulum,CHNN,avg_rel_err_pert,67,0.000169895775959979
3-CoupledPendulum,CHNN,avg_rel_err_pert,68,8.770053397030245e-05
3-CoupledPendulum,CHNN,avg_rel_err_pert,69,5.336112266884766e-05
3-CoupledPendulum,CHNN,avg_rel_err_pert,70,0.00010415688608414602
3-CoupledPendulum,CHNN,avg_rel_err_pert,71,0.00010831506316346207
3-CoupledPendulum,CHNN,avg_rel_err_pert,72,9.621913693554551e-05
3-CoupledPendulum,CHNN,avg_rel_err_pert,73,6.441642780981572e-05
3-CoupledPendulum,CHNN,avg_rel_err_pert,74,6.249964272458406e-05
3-CoupledPendulum,CHNN,avg_rel_err_pert,75,0.00012652826922083897
3-CoupledPendulum,CHNN,avg_rel_err_pert,76,0.0001040558096683638
3-CoupledPendulum,CHNN,avg_rel_err_pert,77,0.00012350693945146332
3-CoupledPendulum,CHNN,avg_rel_err_pert,78,8.819614262310725e-05
3-CoupledPendulum,CHNN,avg_rel_err_pert,79,7.339298228478601e-05
3-CoupledPendulum,CHNN,avg_rel_err_pert,80,7.030002962484757e-05
3-CoupledPendulum,CHNN,avg_rel_err_pert,81,0.00020766789916418357
3-CoupledPendulum,CHNN,avg_rel_err_pert,82,0.00018220598920969903
3-CoupledPendulum,CHNN,avg_rel_err_pert,83,0.00010867808589790978
3-CoupledPendulum,CHNN,avg_rel_err_pert,84,0.0001487203798773736
3-CoupledPendulum,CHNN,avg_rel_err_pert,85,9.717566677621422e-05
3-CoupledPendulum,CHNN,avg_rel_err_pert,86,0.0001545020870870869
3-CoupledPendulum,CHNN,avg_rel_err_pert,87,0.00034574153007598755
3-CoupledPendulum,CHNN,avg_rel_err_pert,88,7.387837368475191e-05
3-CoupledPendulum,CHNN,avg_rel_err_pert,89,0.00011943348644852032
3-CoupledPendulum,CHNN,avg_rel_err_pert,90,0.00016065037093802124
3-CoupledPendulum,CHNN,avg_rel_err_pert,91,0.0001466464548686815
3-CoupledPendulum,CHNN,avg_rel_err_pert,92,0.00013848479559403512
3-CoupledPendulum,CHNN,avg_rel_err_pert,93,8.900350389823523e-05
3-CoupledPendulum,CHNN,avg_rel_err_pert,94,0.00013793963307397105
3-CoupledPendulum,CHNN,avg_rel_err_pert,95,8.419200690335942e-05
3-CoupledPendulum,CHNN,avg_rel_err_pert,96,0.00014473953889910385
3-CoupledPendulum,CHNN,avg_rel_err_pert,97,0.00017705163052364955
3-CoupledPendulum,CHNN,avg_rel_err_pert,98,0.00013184140877309572
