Body,Network,Series,Batch,Geometric Mean
1-Pendulum,CHNN,avg_rel_err_pert,0,1.0827654926364981e-05
1-Pendulum,CHNN,avg_rel_err_pert,1,1.7118365836308412e-05
1-Pendulum,CHNN,avg_rel_err_pert,2,7.984921729440038e-05
1-Pendulum,CHNN,avg_rel_err_pert,3,8.615750538493644e-05
1-Pendulum,CHNN,avg_rel_err_pert,4,2.9100354239726717e-05
1-Pendulum,CHNN,avg_rel_err_pert,5,4.0807783139140557e-05
1-Pendulum,CHNN,avg_rel_err_pert,6,5.882423607571752e-05
1-Pendulum,CHNN,avg_rel_err_pert,7,4.5596131493773994e-05
1-Pendulum,CHNN,avg_rel_err_pert,8,2.510881121662655e-05
1-Pendulum,CHNN,avg_rel_err_pert,9,4.4497844513085264e-06
1-Pendulum,CHNN,avg_rel_err_pert,10,7.417086124086807e-06
1-Pendulum,CHNN,avg_rel_err_pert,11,2.3486167813817643e-05
1-Pendulum,CHNN,avg_rel_err_pert,12,3.9938118999870006e-05
1-Pendulum,CHNN,avg_rel_err_pert,13,0.00014701444767425286
1-Pendulum,CHNN,avg_rel_err_pert,14,6.379438535225364e-05
1-Pendulum,CHNN,avg_rel_err_pert,15,1.1773175631773274e-05
1-Pendulum,CHNN,avg_rel_err_pert,16,5.0928209621885914e-05
1-Pendulum,CHNN,avg_rel_err_pert,17,0.00019884830768333918
1-Pendulum,CHNN,avg_rel_err_pert,18,1.3828032286509192e-05
1-Pendulum,CHNN,avg_rel_err_pert,19,3.606928095514766e-05
1-Pendulum,CHNN,avg_rel_err_pert,20,1.820100875984855e-05
1-Pendulum,CHNN,avg_rel_err_pert,21,0.0001170857402582161
1-Pendulum,CHNN,avg_rel_err_pert,22,0.00016560129634854762
1-Pendulum,CHNN,avg_rel_err_pert,23,9.058595795454287e-06
1-Pendulum,CHNN,avg_rel_err_pert,24,7.300518449623534e-06
1-Pendulum,CHNN,avg_rel_err_pert,25,4.076859149707444e-05
1-Pendulum,CHNN,avg_rel_err_pert,26,2.3801929152455108e-05
1-Pendulum,CHNN,avg_rel_err_pert,27,3.363541748538398e-05
1-Pendulum,CHNN,avg_rel_err_pert,28,4.400840036060047e-05
1-Pendulum,CHNN,avg_rel_err_pert,29,2.858524958787092e-05
1-Pendulum,CHNN,avg_rel_err_pert,30,2.1984213814840282e-05
1-Pendulum,CHNN,avg_rel_err_pert,31,9.202408079937613e-05
1-Pendulum,CHNN,avg_rel_err_pert,32,3.6973817635444606e-05
1-Pendulum,CHNN,avg_rel_err_pert,33,8.863009921177235e-05
1-Pendulum,CHNN,avg_rel_err_pert,34,4.7771585438378684e-05
1-Pendulum,CHNN,avg_rel_err_pert,35,1.6418212274810222e-05
1-Pendulum,CHNN,avg_rel_err_pert,36,5.244103352993735e-05
1-Pendulum,CHNN,avg_rel_err_pert,37,3.4539538144611876e-05
1-Pendulum,CHNN,avg_rel_err_pert,38,3.884762280615719e-05
1-Pendulum,CHNN,avg_rel_err_pert,39,2.0351191450231623e-05
1-Pendulum,CHNN,avg_rel_err_pert,40,3.436594553735108e-05
1-Pendulum,CHNN,avg_rel_err_pert,41,3.765395329953127e-05
1-Pendulum,CHNN,avg_rel_err_pert,42,8.562276950515054e-06
1-Pendulum,CHNN,avg_rel_err_pert,43,2.106788624340645e-05
1-Pendulum,CHNN,avg_rel_err_pert,44,0.00011208774551082771
1-Pendulum,CHNN,avg_rel_err_pert,45,3.782329797513079e-05
1-Pendulum,CHNN,avg_rel_err_pert,46,2.57536790814613e-05
1-Pendulum,CHNN,avg_rel_err_pert,47,1.5324276325024505e-05
1-Pendulum,CHNN,avg_rel_err_pert,48,3.0494804612901242e-05
1-Pendulum,CHNN,avg_rel_err_pert,49,5.145668393330091e-05
1-Pendulum,CHNN,avg_rel_err_pert,50,3.099362463635464e-06
1-Pendulum,CHNN,avg_rel_err_pert,51,4.670983461679558e-05
1-Pendulum,CHNN,avg_rel_err_pert,52,2.3646596474306765e-05
1-Pendulum,CHNN,avg_rel_err_pert,53,7.42657704535527e-05
1-Pendulum,CHNN,avg_rel_err_pert,54,1.1201227767583313e-05
1-Pendulum,CHNN,avg_rel_err_pert,55,0.00014123545922374738
1-Pendulum,CHNN,avg_rel_err_pert,56,2.1758479985044255e-05
1-Pendulum,CHNN,avg_rel_err_pert,57,4.418965242996725e-05
1-Pendulum,CHNN,avg_rel_err_pert,58,4.243091754833491e-06
1-Pendulum,CHNN,avg_rel_err_pert,59,7.19385522718025e-05
1-Pendulum,CHNN,avg_rel_err_pert,60,5.3515069589433735e-05
1-Pendulum,CHNN,avg_rel_err_pert,61,3.815525918568463e-05
1-Pendulum,CHNN,avg_rel_err_pert,62,8.507012565808371e-05
1-Pendulum,CHNN,avg_rel_err_pert,63,7.923361812988622e-05
1-Pendulum,CHNN,avg_rel_err_pert,64,3.9437003063808635e-05
1-Pendulum,CHNN,avg_rel_err_pert,65,3.11214784970453e-05
1-Pendulum,CHNN,avg_rel_err_pert,66,2.1370404198847722e-05
1-Pendulum,CHNN,avg_rel_err_pert,67,3.332221307412935e-05
1-Pendulum,CHNN,avg_rel_err_pert,68,5.5725270648349793e-05
1-Pendulum,CHNN,avg_rel_err_pert,69,2.9712627860954738e-05
1-Pendulum,CHNN,avg_rel_err_pert,70,1.4455331393136036e-05
1-Pendulum,CHNN,avg_rel_err_pert,71,8.841487560111505e-05
1-Pendulum,CHNN,avg_rel_err_pert,72,6.104068592910189e-05
1-Pendulum,CHNN,avg_rel_err_pert,73,3.118312958480592e-05
1-Pendulum,CHNN,avg_rel_err_pert,74,0.0001087352132727917
1-Pendulum,CHNN,avg_rel_err_pert,75,3.8583564582912376e-05
1-Pendulum,CHNN,avg_rel_err_pert,76,0.00016558178103882613
1-Pendulum,CHNN,avg_rel_err_pert,77,6.876672947076313e-05
1-Pendulum,CHNN,avg_rel_err_pert,78,0.00012759598032023042
1-Pendulum,CHNN,avg_rel_err_pert,79,5.4147049463895506e-05
1-Pendulum,CHNN,avg_rel_err_pert,80,5.876042856582662e-06
1-Pendulum,CHNN,avg_rel_err_pert,81,3.827891089602815e-05
1-Pendulum,CHNN,avg_rel_err_pert,82,5.3212155654672804e-05
1-Pendulum,CHNN,avg_rel_err_pert,83,0.0001302111392593876
1-Pendulum,CHNN,avg_rel_err_pert,84,5.1996985935020734e-05
1-Pendulum,CHNN,avg_rel_err_pert,85,2.3525619524613894e-05
1-Pendulum,CHNN,avg_rel_err_pert,86,4.982545803663493e-05
1-Pendulum,CHNN,avg_rel_err_pert,87,4.9748104353986314e-05
1-Pendulum,CHNN,avg_rel_err_pert,88,2.1628969250725114e-05
1-Pendulum,CHNN,avg_rel_err_pert,89,2.2929477764000478e-05
1-Pendulum,CHNN,avg_rel_err_pert,90,4.11579910185401e-05
1-Pendulum,CHNN,avg_rel_err_pert,91,6.135854293116519e-05
1-Pendulum,CHNN,avg_rel_err_pert,92,6.817472003938048e-05
1-Pendulum,CHNN,avg_rel_err_pert,93,4.838584348196809e-05
1-Pendulum,CHNN,avg_rel_err_pert,94,3.18978398890639e-05
1-Pendulum,CHNN,avg_rel_err_pert,95,6.10714671185681e-05
1-Pendulum,CHNN,avg_rel_err_pert,96,2.317527351290742e-05
1-Pendulum,CHNN,avg_rel_err_pert,97,3.7163511484388436e-05
1-Pendulum,CHNN,avg_rel_err_pert,98,3.12735624221812e-05
1-Pendulum,CHNN,avg_rel_err_pert,99,3.784462394838277e-05
1-Pendulum,CHNN,avg_rel_err_pred,0,4.1526933429111994e-05
1-Pendulum,CHNN,avg_rel_err_pred,1,4.71434838144775e-05
1-Pendulum,CHNN,avg_rel_err_pred,2,5.070374156522362e-05
1-Pendulum,CHNN,avg_rel_err_pred,3,7.831034769939404e-05
1-Pendulum,CHNN,avg_rel_err_pred,4,3.1214378875469656e-05
